"id","category_slug","old_alt","new_title","new_alt","status"
"114","couples","DSC01796","Crissy Field Twirl with Golden Gate Bridge Backdrop","Bay Area couples portrait of a man twirling his partner on the sandy beach at Crissy Field, Golden Gate Bridge behind them in","updated"
"113","couples","DSC01766","Crissy Field Couples Portrait with Golden Gate Bridge View","Bay Area couples portrait of a man lifting his partner in a cream beanie and plaid scarf on the sandy beach at Crissy Field","updated"
"115","couples","DSC01816","Crissy Field Couples Walk with Golden Gate Bridge Backdrop","Bay Area couples portrait of a couple holding hands walking on Crissy Field sand, Golden Gate Bridge behind them in winter","updated"
"116","couples","DSC01836","Crissy Field Couples Portrait with Golden Gate Bridge View","Bay Area couples portrait of a pair walking on Crissy Field beach in cozy fall layers with the Golden Gate Bridge behind","updated"
"117","couples","DSC01890","Crissy Field Couples Portrait with Golden Gate Bridge View","Bay Area couples portrait of two seated on driftwood at Crissy Field beach, Golden Gate Bridge behind them in winter","updated"
"118","couples","DSC01914","Crissy Field Couples Portrait with Golden Gate Bridge View","Bay Area couples portrait of a man and woman cuddling on a driftwood log at Crissy Field beach with the Golden Gate Bridge","updated"
"120","family","DSC03040","Crissy Field Family Portrait with Golden Gate Bridge View","Bay Area family portrait of a mother and three sons in neutral tones standing on Crissy Field beach with the Golden Gate","updated"
"119","couples","DSC01922","Crissy Field Couples Portrait at Golden Gate Bridge | soloxsnaps","Bay Area couples portrait of a pair sitting on driftwood at Crissy Field beach, Golden Gate Bridge behind them in winter sun.","updated"
"121","family","DSC03109","Family of Five Walking at Crissy Field with Golden Gate Bridge","Bay Area family portrait of five walking across Crissy Field beach in neutral sweaters with the Golden Gate Bridge behind","updated"
"122","family","DSC03210","Family of Five Crouching on Crissy Field Beach with Golden Gate Bridge","Bay Area family portrait of five in neutral tones crouching on sandy Crissy Field beach with the Golden Gate Bridge behind.","updated"
"123","family","DSC03574","Family laughing on Crissy Field beach with Golden Gate Bridge","Bay Area family portrait of parents holding their giggling daughter on Crissy Field sand, Golden Gate Bridge behind them in","updated"
"124","couples","DSC05596","Hand-in-Hand Beach Stroll at Golden Hour | Bay Area Couples Portrait","Bay Area couples portrait of a man in navy blazer and woman in blue paisley dress holding hands walking on sandy beach at","updated"
"125","couples","DSC05690","Crissy Field Maternity Couples Portrait with Golden Gate Bridge","Bay Area couples portrait of expecting parents embracing on Crissy Field sand with Golden Gate Bridge behind them in golden","updated"
"126","couples","DSC05699","Golden Gate Bridge Maternity Couples Portrait at Crissy Field","Bay Area couples portrait of expecting parents embracing on sandy Crissy Field beach with the Golden Gate Bridge behind them.","updated"
"127","couples","DSC05719","Crissy Field Couples Portrait with Golden Gate Bridge View","Bay Area couples portrait of an expecting pair holding hands on Crissy Field sand, Golden Gate Bridge behind them.","updated"
"129","couples","DSC05767","Crissy Field Couples Portrait with Golden Gate Bridge View","Bay Area couples portrait of a man in navy blazer and woman in blue floral dress touching foreheads on Crissy Field sand.","updated"
"128","couples","DSC05727","Golden Gate Bridge Maternity Couples Portrait on Crissy Field Beach","Bay Area couples portrait of expecting partners on sandy Crissy Field beach with Golden Gate Bridge behind them in golden","updated"
"130","couples","DSC05790","Crissy Field Couples Portrait at Golden Gate Bridge | soloxsnaps","Bay Area couples portrait of a man and woman holding hands on Crissy Field beach, facing the Golden Gate Bridge at sunset.","updated"
"131","family","DSC03765","Family of Five with Puppy at Palace of Fine Arts","Bay Area family portrait of parents, daughter, two sons and a small dog in red and black holiday attire at the Palace of Fine","updated"
"132","family","DSC03771","Family of Five with Puppy at Palace of Fine Arts","Bay Area family portrait of parents, three kids and a puppy in red and black attire by the Palace of Fine Arts lagoon at","updated"
"133","family","DSC03795","Family of Five with Puppy at Palace of Fine Arts | SF Portraits","Bay Area family portrait of parents, two boys and a daughter in red and black holding a puppy at the Palace of Fine Arts","updated"
"135","family","DSC03816","Family Selfie at Palace of Fine Arts | Bay Area Portraits","Bay Area family portrait of parents, three kids in red, and a puppy taking a selfie at San Francisco's Palace of Fine Arts.","updated"
"134","family","DSC03814","Family Selfie at Palace of Fine Arts | Bay Area Portrait","Bay Area family portrait selfie in red and black plaid at Palace of Fine Arts, parents with three kids and a puppy by the","updated"
"136","family","DSC03884","Holiday Family Portrait at Palace of Fine Arts | Bay Area","Bay Area family portrait of parents, three kids in red plaid and a puppy with a red bow beside the Palace of Fine Arts","updated"
"137","family","DSC03967","Couple Embracing at Palace of Fine Arts Columns","Bay Area family portrait of a smiling couple embracing beside the Palace of Fine Arts columns, woman in black top and red","updated"
"138","couples","DSC03993","Palace of Fine Arts Maternity Couples Portrait at Golden Hour","Bay Area couples portrait of expecting parents holding her baby bump in front of the Palace of Fine Arts rotunda at sunset.","updated"
"139","couples","DSC03999","Palace of Fine Arts Maternity Couples Portrait at Golden Hour","Bay Area couples portrait of expecting parents at Palace of Fine Arts, man in camel coat kissing partner's forehead in black","updated"
"140","couples","DSC04015","Palace of Fine Arts Maternity Couples Portrait at Sunset","Bay Area couples portrait of an expecting couple embracing in front of the Palace of Fine Arts rotunda and lagoon at golden","updated"
"141","couples","DSC04023","Palace of Fine Arts Maternity Couples Portrait at Golden Hour","Bay Area couples portrait of an expecting woman in black dress cradling her bump beside partner in tan coat at Palace of Fine","updated"
"142","couples","DSC04031","Palace of Fine Arts Maternity Reveal Couples Portrait","Bay Area couples portrait of expecting parents holding tiny baby sneakers at the Palace of Fine Arts at golden hour.","updated"
"143","couples","DSC04046","Palace of Fine Arts Couples Portrait at Golden Hour","Bay Area couples portrait of a smiling pair holding hands by the lagoon, man in camel coat and woman in black dress at the","updated"
"144","couples","DSC04053","Palace of Fine Arts Couples Portrait at Golden Hour | Bay Area","Bay Area couples portrait of an expecting couple holding hands at the Palace of Fine Arts rotunda, glowing in golden hour","updated"
"145","couples","DSC04067","Palace of Fine Arts Couples Portrait at Golden Hour | Bay Area","Bay Area couples portrait of a smiling pair in camel blazer and black knit dress at San Francisco's Palace of Fine Arts","updated"
"146","couples","DSC04074","Palace of Fine Arts Couples Portrait at Golden Hour | Bay Area","Bay Area couples portrait of a man in camel coat and woman in black dress touching foreheads at Palace of Fine Arts lagoon.","updated"
"147","couples","DSC04094","Palace of Fine Arts Maternity Twirl - Bay Area Couples Portrait","Bay Area couples portrait of an expecting couple twirling by the lagoon at the Palace of Fine Arts in golden hour light.","updated"
"148","couples","DSC04110","Palace of Fine Arts Maternity Couples Portrait at Sunset","Bay Area couples portrait of expecting partners twirling in front of the Palace of Fine Arts rotunda at golden hour.","updated"
"149","couples","DSC04151","Bay Area Couples Pregnancy Announcement with Ultrasound Photo","Bay Area couples portrait of expecting parents in black turtlenecks holding an ultrasound photo near tall wooden columns at","updated"
"150","couples","DSC04158","Palace of Fine Arts Pregnancy Announcement Couples Portrait","Bay Area couples portrait of expecting parents in black sweaters holding an ultrasound photo near the Palace of Fine Arts","updated"
"151","couples","DSC04218","Palace of Fine Arts Pregnancy Announcement Couples Portrait","Bay Area couples portrait of expecting parents holding a baby onesie at the Palace of Fine Arts columns at sunset.","updated"
"152","couples","DSC04248","Palace of Fine Arts Couples Portrait at Golden Hour | Bay Area","Bay Area couples portrait of a smiling pair holding hands between towering columns at the Palace of Fine Arts, she in a long","updated"
"153","couples","DSC04298","Palace of Fine Arts Couples Portrait Framed by Columns","Bay Area couples portrait of a pair embracing between sandstone columns at the Palace of Fine Arts, she in a black dress, he","updated"
"154","couples","DSC04315","Maternity Couples Portrait at Palace of Fine Arts | soloxsnaps","Bay Area couples maternity portrait of expecting parents in black attire forming a heart over baby bump near Palace of Fine","updated"
"155","couples","DSC04335","Palace of Fine Arts Maternity Portrait at Golden Hour","Bay Area couples portrait of expecting parents in black turtlenecks embracing as he kisses her forehead beneath sunlit","updated"
"156","family","DSC06241","Family of Four on Redwood Boardwalk - Bay Area Portraits","Bay Area family portrait of parents with toddler in pink dress and baby in koala outfit on a wooden boardwalk among redwoods.","updated"
"158","family","DSC06365","Family of Four on Redwood Boardwalk - Bay Area Portraits","Bay Area family portrait of parents with toddler in pink dress and baby boy on a wooden boardwalk among redwood trees.","updated"
"159","family","DSC06404","Family of Four on Wooden Bridge in Bay Area Redwoods","Bay Area family portrait of parents holding toddler daughter in pink and baby boy in gray on a wooden bridge among redwood","updated"
"157","family","DSC06295","Mother and Toddler Daughter on Redwood Boardwalk | Bay Area Family","Bay Area family portrait of a smiling mom in navy dress crouching with her toddler daughter in pink sweater on a redwood","updated"
"160","family","DSC06412","Family of Four on Redwood Bridge - Bay Area Portrait","Bay Area family portrait of parents holding toddler daughter in pink and baby son on a wooden bridge among redwoods.","updated"
"161","family","DSC06424","Family of Four on Redwood Footbridge - Bay Area Portrait","Bay Area family portrait of parents holding toddler daughter and baby son on a wooden footbridge among towering redwood","updated"
"162","family","DSC06455","Dad and Toddler Daughter on Redwood Bridge | Bay Area Family Portrait","Bay Area family portrait of a bearded dad in a tan sweater crouching beside his toddler daughter in a pink dress on a wooden","updated"
"163","family","DSC06541","Mother and Toddler Daughter on Redwood Boardwalk | Bay Area Portrait","Bay Area family portrait of a smiling mother in a navy knit dress holding her toddler daughter in a pink sweater on a redwood","updated"
"164","family","DSC06845","Mother and Toddler Son on Redwood Boardwalk - Bay Area Family","Bay Area family portrait of a smiling mom in white top holding her toddler son in sage sweater on a wooden boardwalk among","updated"
"165","family","DSC06949","Bay Area Family Portrait Among Redwoods | soloxsnaps","Bay Area family portrait of parents holding their toddler son by a wooden split-rail fence in a sunlit redwood grove.","updated"
"166","family","DSC07108","Mother and Toddler Son Smiling in Bay Area Redwood Grove","Bay Area family portrait of a smiling mother in a white top and navy pants holding her toddler son on a wooden deck among","updated"
"167","family","DSC07252","Bay Area Family Portrait with Toddler Under Redwood Tree","Bay Area family portrait of parents seated on a log under a redwood, holding their toddler son in a sage henley and jeans.","updated"
"168","family","DSC08457","Family of Four on Redwood Boardwalk | Bay Area Portraits","Bay Area family portrait of parents and two young sons in navy and blue sweaters hugging on a sunlit redwood grove boardwalk.","updated"
"169","family","DSC08463","Family of Four Among Redwoods on Wooden Boardwalk","Bay Area family portrait of parents and two young sons in navy striped sweaters standing on a redwood grove boardwalk.","updated"
"170","family","DSC08511","Dad and Two Sons on Redwood Boardwalk - Bay Area Family Portrait","Bay Area family portrait of a smiling dad in a blue shirt with his two young sons in matching navy striped sweaters on a","updated"
"171","family","DSC08635","Family of Four on Redwood Boardwalk - Bay Area Portrait","Bay Area family portrait of parents crouching with two smiling boys in matching navy striped sweaters on a redwood grove","updated"
"172","family","DSC08637","Family of Four Smiling on Redwood Boardwalk - Bay Area Portraits","Bay Area family portrait of parents crouching with two young sons in matching navy striped sweaters on a wooden boardwalk","updated"
